Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
1.0,19.0,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6.0,In Relationship,3.0,8.0
2.0,22.0,Male,Graduate,India,2.1,Twitter,No,7.5,8.0,Single,0.0,3.0
3.0,20.0,,Undergraduate,USA,6.0,TikTok,Yes,5.0,5.0,Complicated,4.0,9.0
4.0,18.0,Male,High School,UK,3.0,YouTube,No,7.0,7.0,Single,1.0,4.0
5.0,21.0,Male,Graduate,Canada,,Facebook,Yes,6.0,6.0,In Relationship,2.0,7.0
6.0,19.0,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4.0,Complicated,5.0,9.0
7.0,23.0,Male,Graduate,Germany,1.5,LinkedIn,No,8.0,9.0,Single,0.0,2.0
8.0,20.0,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6.0,6.0,In Relationship,2.0,8.0
9.0,18.0,Male,High School,Japan,4.0,TikTok,No,6.5,7.0,Single,1.0,5.0
10.0,21.0,Female,Graduate,South Korea,3.3,Instagram,No,,7.0,In Relationship,1.0,4.0
11.0,19.0,Male,Undergraduate,France,4.8,Snapchat,Yes,6.2,5.0,Complicated,3.0,7.0
12.0,20.0,Female,Undergraduate,Spain,5.5,TikTok,Yes,5.8,6.0,In Relationship,2.0,8.0
13.0,22.0,Male,Graduate,Italy,2.8,LinkedIn,No,7.2,8.0,Single,1.0,4.0
14.0,18.0,Female,High School,Mexico,6.5,Instagram,Yes,5.5,5.0,Single,4.0,9.0
15.0,21.0,Male,Undergraduate,Russia,3.7,YouTube,No,6.8,7.0,In Relationship,2.0,5.0
16.0,20.0,Female,Undergraduate,China,4.2,,Yes,6.0,6.0,Complicated,3.0,7.0
17.0,24.0,Male,Graduate,Sweden,2.0,LinkedIn,No,7.8,8.0,Single,0.0,3.0
18.0,19.0,Female,High School,Norway,5.0,Instagram,Yes,5.7,5.0,In Relationship,3.0,8.0
19.0,21.0,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7.0,Single,1.0,5.0
20.0,20.0,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6.0,Complicated,3.0,7.0
21.0,18.0,Male,High School,Belgium,5.3,TikTok,Yes,5.5,5.0,Single,4.0,8.0
22.0,23.0,Female,Graduate,Switzerland,2.5,LinkedIn,No,7.3,8.0,In Relationship,1.0,4.0
23.0,19.0,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6.0,Complicated,3.0,7.0
24.0,20.0,Female,Undergraduate,Portugal,5.7,,Yes,5.4,5.0,Single,4.0,8.0
25.0,22.0,Male,Graduate,Greece,3.2,Facebook,No,6.9,7.0,In Relationship,2.0,5.0
26.0,19.0,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5.0,Complicated,4.0,9.0
27.0,21.0,Male,Undergraduate,New Zealand,3.8,YouTube,No,6.6,7.0,Single,1.0,5.0
28.0,20.0,Female,Undergraduate,Singapore,4.4,TikTok,Yes,5.9,6.0,In Relationship,3.0,7.0
29.0,24.0,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8.0,Single,0.0,3.0
30.0,19.0,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5.0,Complicated,4.0,8.0
31.0,21.0,Male,Undergraduate,Vietnam,3.6,Facebook,No,6.7,7.0,Single,1.0,5.0
32.0,20.0,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6.0,In Relationship,3.0,7.0
33.0,18.0,Male,High School,Indonesia,5.4,TikTok,Yes,5.4,5.0,Complicated,4.0,8.0
34.0,23.0,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8.0,Single,1.0,4.0
35.0,19.0,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6.0,In Relationship,3.0,7.0
36.0,20.0,,Undergraduate,Turkey,5.6,TikTok,Yes,5.5,5.0,Complicated,4.0,8.0
37.0,,Male,Graduate,Israel,3.1,Facebook,,6.8,7.0,Single,1.0,5.0
38.0,19.0,Female,High School,UAE,,Instagram,Yes,5.1,5.0,In Relationship,4.0,9.0
39.0,21.0,Male,Undergraduate,Egypt,3.9,YouTube,No,6.5,7.0,Complicated,2.0,6.0
40.0,20.0,Female,Undergraduate,Morocco,4.5,TikTok,Yes,5.8,6.0,Single,3.0,7.0
41.0,24.0,Male,Graduate,South Africa,2.3,LinkedIn,No,7.3,8.0,In Relationship,1.0,4.0
42.0,19.0,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5.0,Complicated,,8.0
43.0,21.0,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7.0,Single,2.0,5.0
44.0,20.0,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6.0,In Relationship,3.0,7.0
45.0,18.0,Male,High School,Argentina,5.5,TikTok,Yes,5.3,5.0,Single,4.0,8.0
46.0,23.0,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8.0,Complicated,1.0,4.0
47.0,19.0,Male,Undergraduate,Colombia,,Instagram,Yes,5.9,6.0,In Relationship,3.0,7.0
48.0,20.0,Female,,Peru,5.5,TikTok,Yes,5.6,5.0,Single,4.0,8.0
49.0,22.0,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7.0,In Relationship,2.0,5.0
50.0,19.0,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5.0,Complicated,4.0,9.0
51.0,21.0,Male,Undergraduate,Uruguay,3.8,YouTube,No,6.4,7.0,Single,2.0,6.0
52.0,20.0,Female,Undergraduate,Paraguay,,TikTok,Yes,5.8,6.0,In Relationship,3.0,7.0
53.0,24.0,Male,Graduate,Bolivia,2.4,LinkedIn,No,7.2,8.0,Complicated,1.0,4.0
54.0,19.0,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5.0,Single,4.0,8.0
55.0,21.0,Male,Undergraduate,Panama,3.6,Facebook,No,6.5,7.0,In Relationship,2.0,5.0
56.0,20.0,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6.0,Complicated,3.0,7.0
57.0,18.0,Male,High School,Trinidad,5.6,TikTok,Yes,5.2,5.0,Single,4.0,8.0
58.0,23.0,Female,Graduate,Bahamas,2.8,LinkedIn,No,7.0,8.0,In Relationship,1.0,4.0
59.0,19.0,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6.0,Complicated,3.0,7.0
60.0,20.0,Female,Undergraduate,Finland,5.4,TikTok,Yes,5.7,5.0,Single,4.0,8.0
61.0,22.0,Male,Graduate,Poland,3.1,Facebook,No,7.1,7.0,Single,1.0,5.0
62.0,19.0,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5.0,In Relationship,3.0,8.0
63.0,20.0,Male,Undergraduate,Hungary,4.2,TikTok,Yes,6.0,6.0,Complicated,3.0,7.0
,18.0,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4.0,Single,4.0,9.0
65.0,23.0,Male,Graduate,Slovakia,2.3,LinkedIn,No,7.4,8.0,In Relationship,1.0,3.0
66.0,21.0,Female,Undergraduate,Croatia,4.8,Instagram,Yes,5.8,6.0,Single,3.0,7.0
67.0,20.0,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7.0,Complicated,2.0,6.0
68.0,19.0,Female,High School,Slovenia,5.7,TikTok,Yes,5.4,5.0,In Relationship,4.0,8.0
69.0,22.0,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8.0,Single,1.0,4.0
70.0,20.0,Female,Undergraduate,Estonia,4.5,,,5.9,6.0,Complicated,3.0,7.0
71.0,-5.0,Male,High School,,5.4,Snapchat,Yes,5.5,5.0,Single,4.0,8.0
72.0,21.0,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7.0,In Relationship,2.0,5.0
73.0,19.0,Male,Undergraduate,Ukraine,4.9,TikTok,Yes,5.7,6.0,Complicated,3.0,7.0
74.0,20.0,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5.0,Single,4.0,8.0
75.0,23.0,,Graduate,Belarus,2.5,LinkedIn,No,7.3,8.0,,1.0,4.0
76.0,21.0,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6.0,Single,3.0,7.0
77.0,19.0,Male,High School,Uzbekistan,5.5,TikTok,Yes,5.4,5.0,Complicated,4.0,8.0
78.0,22.0,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7.0,7.0,In Relationship,2.0,5.0
79.0,20.0,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6.0,Single,3.0,7.0
80.0,18.0,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5.0,Complicated,4.0,9.0
81.0,21.0,Male,Graduate,Georgia,3.0,LinkedIn,No,7.1,8.0,In Relationship,1.0,4.0
82.0,19.0,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6.0,Single,3.0,7.0
83.0,20.0,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7.0,Complicated,2.0,6.0
84.0,22.0,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8.0,In Relationship,1.0,4.0
85.0,18.0,Male,High School,Luxembourg,5.6,Snapchat,,5.3,5.0,Single,4.0,8.0
86.0,21.0,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6.0,Complicated,3.0,7.0
87.0,19.0,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5.0,In Relationship,4.0,8.0
88.0,-5.0,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8.0,Single,1.0,4.0
89.0,20.0,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6.0,6.0,Complicated,3.0,7.0
